name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Unnamed POI,50.6073712,14.8864753,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.608033,14.886539,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6077291,14.8899709,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.6094696,14.8878043,0.12842483818531036,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8518179,14.5218503,0.11858779937028885,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Jaroslava Kuby,50.4933013,15.2572744,0.15265315771102905,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7891499,14.4925911,0.15381157398223877,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8315536,14.5906825,0.12285086512565613,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8570417,14.5607047,0.13280323147773743,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.7198971,15.4490775,0.12245185673236847,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8489743,14.6594983,0.13861875236034393,Modrá (Mírné znečištění),Liberec,Unknown
Pětikostelní kámen,50.8423767,14.6030345,0.12382620573043823,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.4795397,15.246948,0.14165101945400238,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8387523,14.5771998,0.12016541510820389,Modrá (Mírné znečištění),Liberec,Unknown
Jelení kámen,50.8390327,14.5866023,0.12252099812030792,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8373291,14.5912372,0.12285086512565613,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.5118357,15.2346039,0.15086109936237335,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,49.2277939,15.3619676,0.06508030742406845,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Čertův stolek,49.7140336,15.7123815,0.1191708892583847,Modrá (Mírné znečištění),Jihlava,Unknown
Unnamed POI,49.7142636,15.7131252,0.1191708892583847,Modrá (Mírné znečištění),Jihlava,Unknown
Unnamed POI,49.2521221,15.4264743,0.07402035593986511,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Unnamed POI,49.1523888,15.3625178,0.06870398670434952,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Na Altánku,49.5551521,15.0504263,0.0776139497756958,Tmavě modrá (Slabé znečištění),Jihlava,Unknown
Orlík,49.5652002,15.4104397,0.111910879611969,Modrá (Mírné znečištění),Jihlava,Unknown
vyhlídka u Heřmanova (608m n.m.),49.3765003,16.1853213,0.10333202034235,Modrá (Mírné znečištění),Jihlava,Unknown
Unnamed POI,49.3260732,16.3408187,0.15134590864181519,Modrá (Mírné znečištění),Jihlava,Unknown
na radnici 2,49.3884661,16.1104098,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
škola 2,49.3912037,16.1019568,0.1490127146244049,Modrá (Mírné znečištění),Jihlava,Unknown
na radnici 3,49.3884801,16.1108229,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
na radnici 1,49.3885822,16.1105426,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
spořitelna 2,49.3881946,16.1105627,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
škola 1,49.3910587,16.101698,0.1490127146244049,Modrá (Mírné znečištění),Jihlava,Unknown
spořitelna 1,49.3882365,16.1104796,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
škola 3,49.3913197,16.10182,0.1490127146244049,Modrá (Mírné znečištění),Jihlava,Unknown
středisko 1,49.3888659,16.1092913,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
non-stop-bar 4x kamera,49.3888083,16.1098841,0.1409693956375122,Modrá (Mírné znečištění),Jihlava,Unknown
Čertova vyhlídka,49.7858673,15.0272238,0.1263379156589508,Modrá (Mírné znečištění),Jihlava,Unknown
