name,lat,lon,darkness_value,falchi_category
Liběhrad,50.2037,14.3626,0.8737299,Zelená (Silné znečištění)
"Vyhlídka ""u Martina""",49.2506,16.9145,0.25343743,Světle modrá (Střední znečištění)
Zouvalka,49.2522,17.0162,0.25303403,Světle modrá (Střední znečištění)
Rajovské skály,48.843,14.3749,0.1858265,Světle modrá (Střední znečištění)
Zaječí skok,49.4137,15.5345,0.33712232,Tmavě zelená (Znečištěná)
Vyhlidka na Český ráj,50.5678,15.2993,0.14691897,Modrá (Mírné znečištění)
Kinského vyhlídka,50.912,14.4563,0.112677276,Modrá (Mírné znečištění)
Vlčí kámen,50.6777,13.7357,0.29305723,Světle modrá (Střední znečištění)
Rogalová rampa,50.3616,13.1704,0.12993106,Modrá (Mírné znečištění)
Raisova vyhlídka,50.5618,15.1276,0.20788972,Světle modrá (Střední znečištění)
Holenická vyhlídka na Trosky,50.5217,15.3168,0.1429334,Modrá (Mírné znečištění)
Švamberk view,50.2662,16.1164,0.24729891,Světle modrá (Střední znečištění)
Chateau view,50.2633,16.1172,0.22557771,Světle modrá (Střední znečištění)
Baba - 639,49.7321,17.4247,0.13014798,Modrá (Mírné znečištění)
Zelený vrch,50.8207,15.2823,0.11413192,Modrá (Mírné znečištění)
Šibenik,50.5561,15.9063,0.61096895,Tmavě zelená (Znečištěná)
Řípská vyhlídka,50.5048,14.5404,0.1229308,Modrá (Mírné znečištění)
Krkatá bába,49.3821,16.5293,0.18841454,Světle modrá (Střední znečištění)
Solárka,49.5809,18.3198,0.27639207,Světle modrá (Střední znečištění)
Nickerlova vyhlídka,49.9664,14.4115,0.95230335,Zelená (Silné znečištění)
Zámeček,49.8027,16.1685,0.09427445,Modrá (Mírné znečištění)
Dutý buk,50.9742,14.4238,0.10710563,Modrá (Mírné znečištění)
Metodka,49.6064,16.1473,0.08785333,Modrá (Mírné znečištění)
Arberblick,49.1281,13.2317,0.07358336,Tmavě modrá (Slabé znečištění)
U Čtyř buků,50.7587,15.431,0.11517845,Modrá (Mírné znečištění)
Emergency hut,49.9544,14.7736,0.29166174,Světle modrá (Střední znečištění)
Náklo,48.9384,17.1374,0.23264368,Světle modrá (Střední znečištění)
Vyhlídka Václava Hrubého,48.9334,13.7085,0.05036993,Tmavě modrá (Slabé znečištění)
Bosenská skála,50.7362,15.384,0.12987843,Modrá (Mírné znečištění)
Skalní vyhlídka,50.7392,15.4067,0.12570006,Modrá (Mírné znečištění)
U obrázku,49.8912,14.4678,0.36330235,Tmavě zelená (Znečištěná)
Výhled na hrad Kašperk,49.1653,13.5694,0.05962255,Tmavě modrá (Slabé znečištění)
Labská vyhlídka Elisafex,50.8738,14.2364,0.18191679,Světle modrá (Střední znečištění)
Klostermannova vyhlídka,49.1014,13.4801,0.041464802,Tmavě modrá (Slabé znečištění)
Halda Ema,49.8397,18.3146,2.0406454,Žlutá (Velmi silné znečištění)
Vápenný,50.7888,14.8974,0.17550778,Světle modrá (Střední znečištění)
Krkavčí skály,50.7421,14.8917,0.16740622,Světle modrá (Střední znečištění)
Pohled od sjezdovky Morávka - Sviňorky směrem severovýchod,49.5887,18.5169,0.1849868,Světle modrá (Střední znečištění)
Křížový Vrch,50.6244,16.1264,0.11591946,Modrá (Mírné znečištění)
Vyhlídka Špička Brnky,50.1484,14.4019,1.4101328,Žlutá (Velmi silné znečištění)
Aussichts-Kanzel,49.0611,13.3957,0.032353412,Šedá (Téměř přirozená)
Pohled z úbočí Malého Travného,49.5607,18.5436,0.12380829,Modrá (Mírné znečištění)
Mache,50.5943,14.0828,0.2629314,Světle modrá (Střední znečištění)
Taková hezká skála,50.6034,14.9754,0.15755801,Modrá (Mírné znečištění)
"Motýlí vrch, Ferdinandka",49.6945,13.991,0.43543255,Tmavě zelená (Znečištěná)
Vyhlídka na Kapelu,50.5512,15.179,0.16917105,Světle modrá (Střední znečištění)
Bednář,49.8259,14.4506,0.19051243,Světle modrá (Střední znečištění)
Lovošská Pískovna,50.5242,14.0394,0.44763532,Tmavě zelená (Znečištěná)
Velká Deštná - jih,50.3006,16.3978,0.07880419,Tmavě modrá (Slabé znečištění)
vyhlídka pod Šerlichem,50.3261,16.3869,0.093324184,Modrá (Mírné znečištění)
vyhlídka na Studeném,50.2928,16.3715,0.083206676,Modrá (Mírné znečištění)
Bezručova vyhlídka,49.7128,18.3634,0.64347804,Zelená (Silné znečištění)
Vyhlídka U Rybárny,49.3866,14.1683,0.09155822,Modrá (Mírné znečištění)
Vyhlídka Srdce,49.6656,14.2476,0.09554379,Modrá (Mírné znečištění)
Klosova vyhlídka,50.3494,16.1535,0.30223644,Světle modrá (Střední znečištění)
Kluk,49.6575,13.3571,0.32483527,Tmavě zelená (Znečištěná)
Nad Zdejcinou,49.9787,14.0381,0.36589164,Tmavě zelená (Znečištěná)
Nad Zdejcinou,49.9789,14.0448,0.41896063,Tmavě zelená (Znečištěná)
Nad Marastkem,49.5928,13.7284,0.06587176,Tmavě modrá (Slabé znečištění)
Nad Horními Albeřicemi,50.6902,15.8569,0.11173796,Modrá (Mírné znečištění)
Lasocki Grzbiet,50.7301,15.8317,0.111507215,Modrá (Mírné znečištění)
Śląskie Kamienie,50.776,15.6028,0.105762005,Modrá (Mírné znečištění)
Šumavská vyhlídka,49.4292,13.2967,0.17854752,Světle modrá (Střední znečištění)
Juliina vyhlídka,50.6682,14.7564,0.2201412,Světle modrá (Střední znečištění)
Výhled na Měšno,49.6514,13.6284,0.12177745,Modrá (Mírné znečištění)
Humboldtova vyhlídka,50.6493,14.0371,1.1290666,Zelená (Silné znečištění)
U transformátoru,50.4679,16.0223,0.14805943,Modrá (Mírné znečištění)
Hromobitka,50.4535,16.0213,0.14651386,Modrá (Mírné znečištění)
Mečov,50.4644,16.017,0.14805943,Modrá (Mírné znečištění)
Křížka,49.9264,14.5706,0.53581965,Tmavě zelená (Znečištěná)
Homolka 295 m n m,50.0153,14.3733,1.8842242,Žlutá (Velmi silné znečištění)
Krkavčí skála,50.6199,15.3031,0.21641687,Světle modrá (Střední znečištění)
Medvědí skála,49.5521,18.3999,0.19694999,Světle modrá (Střední znečištění)
Bílý kámen,49.6199,17.4531,0.19690906,Světle modrá (Střední znečištění)
