name,lat,lon,addr:city,tower:construction,tower:type,tourism,height,building,wikipedia,charge,start_date,access,surveillance,man_made
Unnamed POI,49.1909015,16.6075924,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Louštín,50.1639178,13.7937011,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0799461,14.4011278,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0801624,14.401042,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.085613,14.3911026,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,cs:Vyhlídka s vinicí (Strahovský klášter),Unknown,Unknown,Unknown,Unknown,Unknown
U Tety,49.7477942,16.5794314,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
rozhledna Háj u Aše,50.2334595,12.2018478,Unknown,freestanding,observation,viewpoint,Unknown,Unknown,de:Bismarckturm (Aš),Unknown,Unknown,Unknown,Unknown,tower
Unnamed POI,49.3862608,16.5975731,Unknown,Unknown,Unknown,viewpoint,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unnamed POI,50.0995721,14.4847733,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance
Unnamed POI,50.103294,14.4942347,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,outdoor,surveillance
Unnamed POI,50.0994488,14.4949052,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance
Unnamed POI,50.0954987,14.5096357,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,surveillance
