name,lat,lon
rozhledna Nedánov,48.9806,16.8195
Klíč,50.7886,14.5727
Helfenburk,49.1362,14.0067
Klimentova vyhlídka,49.8648,14.4579
Unnamed POI,50.0501,17.172
Hvíždinec,49.9068,14.2673
Unnamed POI,49.8574,13.0319
Unnamed POI,48.9649,17.4729
Unnamed POI,48.8548,16.0453
Unnamed POI,50.0866,17.3341
vyhlídka na Mikulce,49.7658,13.3822
Unnamed POI,49.1961,16.5639
Unnamed POI,49.2015,16.5516
Unnamed POI,49.204,16.5517
Unnamed POI,49.2019,16.5572
Unnamed POI,49.2013,16.56
Stříbrná krasavice,49.9602,16.374
Unnamed POI,50.8861,15.275
Pechova smrt,50.8957,15.2549
Špičák,50.8644,15.0742
Rozhledna Černá Studnice,50.7117,15.233
Rozhledna Vrbice,50.0923,16.247
Husova vyhlídka,50.1111,16.2209
Unnamed POI,50.5267,14.2072
Unnamed POI,50.5279,14.2068
Unnamed POI,50.1115,14.4928
Unnamed POI,50.0436,14.392
Unnamed POI,50.3955,14.558
Košťál,50.4902,13.9848
Holý vrch,50.5026,13.9784
Unnamed POI,50.514,13.9878
Unnamed POI,50.0398,14.3587
Unnamed POI,50.5269,13.7588
Unnamed POI,50.3662,13.2366
Unnamed POI,50.3604,13.2535
Hrad Střmen,50.5942,16.1384
U Roklin,50.5916,16.1226
